timestamp,x,y,left_button_holding,right_button_holding
1786493815.533000,0,0,False,False
1786493815.533000,0,0,True,False
1786493815.619000,-2,0,True,False
1786493815.637000,-5,2,True,False
1786493815.646000,-7,2,True,False
1786493815.667000,-10,10,True,False
1786493815.674000,-15,15,True,False
1786493815.777000,-18,15,True,False
1786493815.848000,-20,15,True,False
1786493815.862000,-23,15,True,False
1786493815.883000,-27,12,True,False
1786493815.897000,-33,12,True,False
1786493815.903000,-33,9,True,False
1786493815.910000,-36,9,True,False
1786493815.917000,-39,6,True,False
1786493815.934000,-43,6,True,False
1786493815.945000,-47,6,True,False
1786493815.960000,-52,4,True,False
1786493816.180000,-52,-1,True,False
1786493816.187000,-52,-4,True,False
1786493816.202000,-52,-7,True,False
1786493816.208000,-55,-10,True,False
1786493816.233000,-55,-14,True,False
1786493816.249000,-58,-18,True,False
1786493816.258000,-59,-21,True,False
1786493816.271000,-61,-21,True,False
1786493816.285000,-63,-27,True,False
1786493816.302000,-63,-32,True,False
1786493816.337000,-66,-37,True,False
1786493816.390000,-66,-42,True,False
1786493816.408000,-66,-45,True,False
1786493816.424000,-66,-48,True,False
1786493816.442000,-66,-52,True,False
1786493816.459000,-66,-57,True,False
1786493816.477000,-66,-60,True,False
1786493816.502000,-66,-63,True,False
1786493816.529000,-66,-66,True,False
1786493816.554000,-63,-71,True,False
1786493816.565000,-61,-73,True,False
1786493816.576000,-61,-76,True,False
1786493816.584000,-59,-78,True,False
1786493816.599000,-55,-82,True,False
1786493816.612000,-55,-85,True,False
1786493816.625000,-52,-85,True,False
1786493816.652000,-52,-87,True,False
1786493816.669000,-49,-90,True,False
1786493816.703000,-49,-92,True,False
1786493816.716000,-46,-92,True,False
1786493816.783000,-44,-92,True,False
1786493816.792000,-41,-92,True,False
1786493816.809000,-33,-92,True,False
1786493816.820000,-27,-92,True,False
1786493816.834000,-25,-92,True,False
1786493816.840000,-22,-90,True,False
1786493816.848000,-19,-90,True,False
1786493816.854000,-16,-90,True,False
1786493816.862000,-13,-90,True,False
1786493816.875000,-9,-87,True,False
1786493817.047000,-11,-84,True,False
1786493817.055000,-14,-81,True,False
1786493817.064000,-14,-78,False,False
1786493817.728000,-57,-45,False,False
1786493817.728000,-57,-45,True,False
1786493817.895000,-54,-42,True,False
1786493817.904000,-52,-42,True,False
1786493817.917000,-47,-42,True,False
1786493817.924000,-44,-41,True,False
1786493817.931000,-39,-39,True,False
1786493817.937000,-35,-39,True,False
